,width,width,width,width,height,height,height,height,fps,fps,fps,fps,frames,frames,frames,frames
,mean,min,max,count,mean,min,max,count,mean,min,max,count,mean,min,max,count
action,,,,,,,,,,,,,,,,
crossing,1920.0,1920,1920,10,1080.0,1080,1080,10,47.952,47.952,47.952,10,79.1,66,85,10
defence,1920.0,1920,1920,10,1080.0,1080,1080,10,47.952,47.952,47.952,10,92.9,81,130,10
dribbling,1920.0,1920,1920,10,1080.0,1080,1080,10,47.9528,47.952,47.954,10,89.6,65,129,10
jump-shot,1998.4,1920,2704,10,1124.0,1080,1520,10,47.952,47.952,47.952,10,75.3,65,130,10
passing,2625.6,1920,2704,10,1476.0,1080,1520,10,47.952,47.952,47.952,10,69.9,65,81,10
running,1920.0,1920,1920,9,1080.0,1080,1080,9,47.952,47.952,47.952,9,117.66666666666667,82,146,9
shot,2155.2,1920,2704,10,1212.0,1080,1520,10,47.952,47.952,47.952,10,78.1,65,97,10
