id,mean_speed_mps,max_speed_mps,total_dist_m,n
1,2.892947095451448,8.99304346148518,3.7404637954202067,63
10,3.7444676091586615,20.60855816806244,4.8414454406038745,63
12,9.423064459379287,21.39500926803053,12.183641901933512,63
14,1.3706185187477056,6.113543085948184,1.7721544077902434,63
16,4.551887494647671,53.87759885019999,3.32240703855248,36
17,2.397134020706148,6.384578394843767,3.0993975075863607,63
2,0.40376439591693714,2.6238185422629385,0.5220510624551657,63
20,1.048178122638773,3.3358525731863566,0.3934602562457857,19
21,4.471741117842168,17.25324874063821,5.781780724604073,63
3,8.369421850100402,29.168692418704364,4.537974810281332,27
4,4.427231778436305,8.27374883009461,1.4772211472927277,17
5,2.2710199961689113,7.868840018578579,2.936337165550394,63
6,5.4844317505160705,33.85707196762804,7.0911488265765,63
8,48.35044315839606,145.4748554020682,62.51517091717878,63
9,6.579950748207641,16.020036014225624,8.507610660428632,63
23,6.238457202057698,51.25702646021873,4.683526427971245,37
27,6.471990701963897,9.826246465823832,2.159489723711678,17
28,2.611590418801388,21.53424053604302,2.178503852854011,41
32,1.629350711541521,1.6295212760633737,0.5096817791358612,16
67,8.176574491730438,13.744062538922128,2.387221448202914,15
71,3.720154549499671,9.617846362412909,1.0085504075637246,14
75,9.005080843745466,35.70534779858577,2.441317379226957,14
79,1.8865267044451113,4.95963123355156,0.3540778349183768,10
83,1.5995240041504226,1.964855479744833,0.13342709410664189,5
