fs,mean_speed_mps,median_speed_mps,tracks,mean_total_dist_m,max_age_used,clip
1,7.091883895765102,2.9797648783603234,24,5.7740859004246445,15,dribbling_KS_10
5,3.581535062473853,2.0171960446117803,13,3.4472309448620284,75,dribbling_KS_10
10,2.5765487875349664,1.3242754441219005,8,1.544790157691656,150,dribbling_KS_10
30,0.0,0.0,0,0.0,450,dribbling_KS_10
1,5.830095914702023,3.331369226171578,30,6.24525762189677,15,passing_KS_100
5,3.2660651420693174,1.981841815030041,18,3.935310018064465,75,passing_KS_100
10,1.6104859954408015,1.4550911479962214,13,1.5113419626884397,150,passing_KS_100
30,0.0,0.0,0,0.0,450,passing_KS_100
1,6.150835166436104,2.4916770906174235,22,7.981933963178165,15,crossing_KS_1
5,2.308168813059683,1.3230354788254455,17,2.9783522127975455,75,crossing_KS_1
10,1.5010786157665243,0.861255408544712,17,1.3773660972165305,150,crossing_KS_1
30,0.0,0.0,0,0.0,450,crossing_KS_1
